date,daily_revenue
2024-01-05,62.0
2024-01-08,69.5
2024-01-10,76.5
2024-01-12,86.39
2024-01-18,73.0
2024-01-22,53.75
2024-01-30,88.0
2024-02-02,146.73
2024-02-03,49.75
2024-02-04,194.0
2024-02-05,176.5
2024-02-06,3219.0
2024-02-07,55.5
2024-02-08,266.4
2024-02-09,5159.75
2024-02-10,228.5
2024-02-11,496.2
2024-02-12,66.0
2024-02-15,41.4
2024-02-16,28.5
2024-02-17,117.97999999999999
2024-02-18,73.0
2024-02-19,20.5
2024-02-20,18.0
2024-02-21,70.5
2024-02-22,47.75
2024-02-23,89.7
2024-02-24,730.5
2024-02-26,70.99
2024-02-27,2290.25
2024-02-28,160.85
2024-02-29,134.4
2024-03-01,331.49
2024-03-02,289.7
2024-03-03,327.65
2024-03-04,17330.5
2024-03-05,241.25
2024-03-06,59.1
2024-03-07,266.49
2024-03-08,308.55
2024-03-09,54.99
2024-03-10,426.8
2024-03-11,550.93
2024-03-12,295.95
2024-03-13,9886.8
2024-03-14,292.03999999999996
2024-03-15,378.03
2024-03-16,167.49
2024-03-17,87.75
2024-03-18,562.99
2024-03-19,586.99
2024-03-20,328.94
2024-03-21,495.86
2024-03-22,363.7
2024-03-23,701.68
2024-03-24,378.4
2024-03-25,556.98
2024-03-26,841.42
2024-03-27,578.05
2024-03-28,233.0
2024-03-29,44.989999999999995
2024-03-30,393.25
2024-03-31,261.74
2024-04-01,388.71
2024-04-02,5880.25
2024-04-03,616.1800000000001
2024-04-04,4613.64
2024-04-05,28987.45
2024-04-06,378.33
2024-04-07,484.88
2024-04-08,430.04
2024-04-09,328.45
2024-04-10,215.74
2024-04-11,444.66
2024-04-12,11920.84
2024-04-13,396.49
2024-04-14,11379.44
2024-04-15,747.84
2024-04-16,326.7
2024-04-17,4603.5
2024-04-18,6353.74
2024-04-19,890.55
2024-04-20,394.1
2024-04-21,7717.0
2024-04-22,387.97
2024-04-23,785.54
2024-04-24,263.8
2024-04-25,951.79
2024-04-26,703.5
2024-04-27,256.79
2024-04-28,17979.06
2024-04-29,620.9399999999999
2024-04-30,551.1800000000001
2024-05-01,5267.51
2024-05-02,208.2
2024-05-03,540.15
2024-05-04,316.69
2024-05-05,227.55
2024-05-06,415.49
2024-05-07,1011.69
2024-05-08,725.29
2024-05-09,1337.91
2024-05-10,6502.150000000001
2024-05-11,775.9100000000001
2024-05-12,1100.27
2024-05-13,651.1
2024-05-14,11159.59
2024-05-15,939.13
2024-05-16,755.22
2024-05-17,800.25
2024-05-18,7894.96
2024-05-19,778.64
2024-05-20,728.97
2024-05-21,912.23
2024-05-22,605.07
2024-05-23,517.0
2024-05-24,655.5500000000001
2024-05-25,899.14
2024-05-26,271.12
2024-05-27,1132.67
2024-05-28,191.99
2024-05-29,1203.65
2024-05-30,671.48
2024-05-31,953.45
2024-06-01,295.73
2024-06-02,9922.9
2024-06-03,471.58
2024-06-04,1020.18
2024-06-05,1259.02
2024-06-06,768.88
2024-06-07,786.74
2024-06-08,1051.1399999999999
2024-06-09,4107.05
2024-06-10,979.18
2024-06-11,663.75
2024-06-12,773.73
2024-06-13,960.0699999999999
2024-06-14,1022.99
2024-06-15,896.89
2024-06-16,17003.399999999998
2024-06-17,1549.02
2024-06-18,1069.94
2024-06-19,8410.85
2024-06-20,1513.53
2024-06-21,884.38
2024-06-22,24401.62
2024-06-23,31306.65
2024-06-24,875.75
2024-06-25,1678.36
2024-06-26,7836.44
2024-06-27,8927.5
2024-06-28,1683.09
2024-06-29,1054.04
2024-06-30,930.5600000000001
2024-07-01,10586.6
2024-07-02,1571.38
2024-07-03,1385.31
2024-07-04,1521.49
2024-07-05,1111.5
2024-07-06,3489.33
2024-07-07,8242.58
2024-07-08,3836.89
2024-07-09,1453.88
2024-07-10,14104.89
2024-07-11,851.0
2024-07-12,1162.3
2024-07-13,2418.15
2024-07-14,4387.5
2024-07-15,14613.05
2024-07-16,2738.86
2024-07-17,1113.73
2024-07-18,9117.5
2024-07-19,12345.060000000001
2024-07-20,1437.35
2024-07-21,1287.32
2024-07-22,12260.0
2024-07-23,1560.3899999999999
2024-07-24,785.73
2024-07-25,1337.48
2024-07-26,8230.69
2024-07-27,793.46
2024-07-28,15197.85
2024-07-29,1365.64
2024-07-30,1453.8899999999999
2024-07-31,1951.39
2024-08-01,9129.960000000001
2024-08-02,2284.36
2024-08-03,2384.69
2024-08-04,10371.8
2024-08-05,1735.46
2024-08-06,1541.49
2024-08-07,4785.23
2024-08-08,1740.42
2024-08-09,1501.73
2024-08-10,8066.66
2024-08-11,8030.04
2024-08-12,1430.83
2024-08-13,7267.93
2024-08-14,7831.01
2024-08-15,2314.34
2024-08-16,9525.14
2024-08-17,2192.56
2024-08-18,1340.1
2024-08-19,1833.54
2024-08-20,5270.39
2024-08-21,17988.539999999997
2024-08-22,4399.48
2024-08-23,10100.29
2024-08-24,1702.19
2024-08-25,17408.13
2024-08-26,7925.82
2024-08-27,13020.85
2024-08-28,20211.32
2024-08-29,1518.07
2024-08-30,1693.93
2024-08-31,1196.43
2024-09-01,13501.980000000001
2024-09-02,2438.55
2024-09-03,13780.27
2024-09-04,9024.47
2024-09-05,11859.39
2024-09-06,33490.17
2024-09-07,1530.78
2024-09-08,3216.11
2024-09-09,2134.94
2024-09-10,8483.27
2024-09-11,2652.35
2024-09-12,14702.230000000001
2024-09-13,10191.46
2024-09-14,3064.27
2024-09-15,8452.35
2024-09-16,9294.56
2024-09-17,2168.16
2024-09-18,2257.85
2024-09-19,5197.96
2024-09-20,2432.11
2024-09-21,10299.58
2024-09-22,1693.6399999999999
2024-09-23,2499.68
2024-09-24,5651.72
2024-09-25,7992.43
2024-09-26,1798.99
2024-09-27,3018.93
2024-09-28,2292.64
2024-09-29,1988.02
2024-09-30,1828.6499999999999
2024-10-01,1888.6399999999999
2024-10-02,17224.530000000002
2024-10-03,3200.11
2024-10-04,10202.47
2024-10-05,2502.05
2024-10-06,2502.23
2024-10-07,3517.02
2024-10-08,2226.81
2024-10-09,7488.63
2024-10-10,13006.699999999999
2024-10-11,1879.31
2024-10-12,2702.7200000000003
2024-10-13,8927.300000000001
2024-10-14,10810.32
2024-10-15,15251.09
2024-10-16,21120.62
2024-10-17,1943.86
2024-10-18,2518.82
2024-10-19,2315.52
2024-10-20,11180.32
2024-10-21,14631.08
2024-10-22,3242.27
2024-10-23,1824.46
2024-10-24,2509.9
2024-10-25,20692.43
2024-10-26,5344.8
2024-10-27,3144.08
2024-10-28,26456.27
2024-10-29,3788.54
2024-10-30,8710.01
2024-10-31,2718.5
2024-11-01,10879.369999999999
2024-11-02,2887.53
2024-11-03,46656.3
2024-11-04,1606.31
2024-11-05,2461.16
2024-11-06,8865.79
2024-11-07,2167.07
2024-11-08,2219.25
2024-11-09,3518.62
2024-11-10,2264.7
2024-11-11,2609.15
2024-11-12,8199.96
2024-11-13,1946.63
2024-11-14,12346.78
2024-11-15,15418.869999999999
2024-11-16,6174.9800000000005
2024-11-17,8268.39
2024-11-18,1990.8899999999999
2024-11-19,6591.67
2024-11-20,2169.56
2024-11-21,10762.65
2024-11-22,17089.309999999998
2024-11-23,18812.36
2024-11-24,6017.72
2024-11-25,1854.76
2024-11-26,1775.56
2024-11-27,1743.42
2024-11-28,17948.32
2024-11-29,2078.52
2024-11-30,8522.79
2024-12-01,6666.400000000001
2024-12-02,2473.99
2024-12-03,6385.0199999999995
2024-12-04,15382.81
2024-12-05,14779.46
2024-12-06,25663.68
2024-12-07,14484.150000000001
2024-12-08,13873.33
2024-12-09,2701.24
2024-12-10,15500.23
2024-12-11,22199.26
2024-12-12,2515.65
2024-12-13,2371.84
2024-12-14,2113.4
2024-12-15,2889.28
2024-12-16,5145.47
2024-12-17,57011.46
2024-12-18,2318.55
2024-12-19,6134.29
2024-12-20,1973.94
2024-12-21,2045.77
2024-12-22,2282.21
2024-12-23,18942.510000000002
2024-12-24,2786.14
2024-12-25,1990.87
2024-12-26,2309.77
2024-12-27,2487.22
2024-12-28,1888.65
2024-12-29,2302.78
2024-12-30,16556.4
2024-12-31,7541.53
2025-01-01,2587.01
2025-01-02,19639.07
2025-01-03,10947.890000000001
2025-01-04,2250.11
2025-01-05,2446.42
2025-01-06,11916.32
2025-01-07,2243.37
2025-01-08,1352.08
2025-01-09,4887.07
2025-01-10,6072.72
2025-01-11,7967.76
2025-01-12,2429.34
2025-01-13,24458.54
2025-01-14,2641.23
2025-01-15,1811.68
2025-01-16,2531.38
2025-01-17,11068.83
2025-01-18,18000.89
2025-01-19,2456.12
2025-01-20,16575.14
2025-01-21,9645.720000000001
2025-01-22,6567.2699999999995
2025-01-23,22290.01
2025-01-24,2749.79
2025-01-25,31732.45
2025-01-26,16862.780000000002
2025-01-27,2890.68
2025-01-28,5204.280000000001
2025-01-29,14645.02
2025-01-30,1827.08
2025-01-31,3109.33
2025-02-01,2258.71
2025-02-02,994.38
2025-02-03,13006.45
2025-02-04,5828.22
2025-02-05,12242.54
2025-02-06,2060.2200000000003
2025-02-07,4575.490000000001
2025-02-08,1566.69
2025-02-09,5807.1
2025-02-10,2909.26
2025-02-11,1792.37
2025-02-12,6819.42
2025-02-13,4010.46
2025-02-14,2335.64
2025-02-15,2338.63
2025-02-16,1967.1
2025-02-17,8453.220000000001
2025-02-18,19077.66
2025-02-19,1986.81
2025-02-20,11066.58
2025-02-21,2454.69
2025-02-22,2132.81
2025-02-23,2234.19
2025-02-24,1548.59
2025-02-25,2410.09
2025-02-26,3581.67
2025-02-27,2303.63
2025-02-28,1795.48
2025-03-01,14392.470000000001
2025-03-02,2682.98
2025-03-03,1951.41
2025-03-04,2286.68
2025-03-05,1885.06
2025-03-06,1826.35
2025-03-07,27828.71
2025-03-08,1514.75
2025-03-09,5372.57
2025-03-10,12361.96
2025-03-11,2160.39
2025-03-12,1959.4
2025-03-13,1653.72
2025-03-14,8310.02
2025-03-15,5523.36
2025-03-16,4989.13
2025-03-17,26444.68
2025-03-18,1117.04
2025-03-19,21703.59
2025-03-20,6278.639999999999
2025-03-21,1934.26
2025-03-22,1279.45
2025-03-23,39120.98
2025-03-24,1426.44
2025-03-25,2407.55
2025-03-26,5653.080000000001
2025-03-27,1322.09
2025-03-28,16151.76
2025-03-29,2116.35
2025-03-30,8180.929999999999
2025-03-31,18084.8
2025-04-01,2512.38
2025-04-02,1399.68
2025-04-03,945.62
2025-04-04,1475.59
2025-04-05,31159.6
2025-04-06,3186.73
2025-04-07,1719.57
2025-04-08,7060.139999999999
2025-04-09,1510.5
2025-04-10,7097.26
2025-04-11,1771.1299999999999
2025-04-12,1579.3
2025-04-13,1791.62
2025-04-14,8568.3
2025-04-15,1255.1
2025-04-16,1664.3600000000001
2025-04-17,1106.44
2025-04-18,8263.109999999999
2025-04-19,1603.6299999999999
2025-04-20,1190.02
2025-04-21,1042.07
2025-04-22,2015.32
2025-04-23,784.04
2025-04-24,1450.52
2025-04-25,3712.4799999999996
2025-04-26,790.3199999999999
2025-04-27,3781.05
2025-04-28,1534.54
2025-04-29,1310.8
2025-04-30,1392.82
2025-05-01,1610.95
2025-05-02,8071.570000000001
2025-05-03,963.65
2025-05-04,497.27000000000004
2025-05-05,986.72
2025-05-06,9129.07
2025-05-07,1002.64
2025-05-08,1145.6
2025-05-09,592.43
2025-05-10,3474.6
2025-05-11,445.99
2025-05-12,1380.82
2025-05-13,8933.04
2025-05-14,997.43
2025-05-15,738.9
2025-05-16,959.87
2025-05-17,1287.9
2025-05-18,899.26
2025-05-19,1075.25
2025-05-20,993.97
2025-05-21,1160.06
2025-05-22,1554.63
2025-05-23,3512.8799999999997
2025-05-24,1212.62
2025-05-25,1025.67
2025-05-26,1155.04
2025-05-27,980.59
2025-05-28,1079.84
2025-05-29,1188.8799999999999
2025-05-30,1154.28
2025-05-31,634.96
2025-06-01,979.77
2025-06-02,647.48
2025-06-03,345.03
2025-06-04,1193.54
2025-06-05,1293.74
2025-06-06,860.33
2025-06-07,1099.35
2025-06-08,1086.93
2025-06-09,6363.08
2025-06-10,1070.6
2025-06-11,366.2
2025-06-12,7154.88
2025-06-13,520.3
2025-06-14,699.74
2025-06-15,607.83
2025-06-16,865.03
2025-06-17,1117.5
2025-06-18,7220.22
2025-06-19,688.67
2025-06-20,474.81
2025-06-21,868.02
2025-06-22,502.28
2025-06-23,921.1800000000001
2025-06-24,21426.050000000003
2025-06-25,590.86
2025-06-26,390.9
2025-06-27,500.35
2025-06-28,449.5
2025-06-29,558.98
2025-06-30,914.65
2025-07-01,511.74
2025-07-02,7217.610000000001
2025-07-03,372.4
2025-07-04,1090.45
